head, tail
가게001, 규모001
가게001, 물건001
가게001, 파다001
가게001, 집001
가게002, 길거리001
가게002, 임시002
가게002, 물건001
가게002, 벌이다001
가게002, 파다001
가게002, 곳001
가겟집001, 가게001
가겟집001, 벌이다001
가겟집001, 장사001
가겟집001, 하다001
가겟집001, 집001
가겟집002, 가게001
가겟집002, 쓰다002
가겟집002, 집001
가격003, 물건001
가격003, 지니다001
가격003, 가치006
가격003, 돈001
가격003, 나타내다001
가구007, 집안001
가구007, 살림001
가구007, 쓰다002
가구007, 기구015
가구007, 장롱001
가구007, 비교001
가구007, 제품002
가구007, 이른다001
가까이001, 지점003
가까이001, 거리001
가까이001, 떨어지다001
가까이001, 상태001
가까이004, 곳001
가까이하다001, 사람001
가까이하다001, 사람001
가까이하다001, 사이001
가까이하다001, 관계005
가까이하다001, 친밀001
가까이하다001, 하다001
가까이하다002, 하다001
가까이하다002, 즐기다001
가깝다001, 곳001
가깝다001, 곳001
가깝다001, 거리001
가깝다002, 서로001
가깝다002, 사이001
가깝다002, 다정002
가깝다005, 시간004
가깝다005, 오다001
가깝다006, 촌수001
가끔001, 시간004
가끔001, 간격002
가끔001, 얼마001
가난001, 살림살이001
가난001, 상태001
가난뱅이001, 가난001
가난뱅이001, 사람001
가난뱅이001, 낮잡다001
가난뱅이001, 이르다001
가난뱅이001, 말001
가늘다001, 물체001
가늘다001, 지름002
가늘다001, 보통001
가늘다001, 경우003
가늘다001, 미치다002
가늘다002, 소리001
가늘다002, 울림001
가늘다002, 보통001
가늘다002, 미치다002
가늘다006, 사이001
가능001, 하다001
가능001, 있다001
가능001, 되다001
가능001, 있다001
가다001, 곳001
가다001, 곳001
가다001, 장소005
가다001, 이동003
가다002, 수레001
가다002, 배001
가다002, 자동차001
가다002, 비행기001
가다002, 운행002
가다002, 다니다001
가다007, 물건001
가다007, 권리001
가다007, 옮기다001
가다008, 관심001
가다008, 눈길001
가다008, 쏠리다001
가다009, 말001
가다009, 소식004
가다009, 알리다001
가다009, 전하다001
가다025, 사람001
가다025, 죽다001
가득히001, 분량001
가득히001, 수효002
가득히001, 범위001
가득히001, 한도002
가득히001, 차다002
가득히002, 비다001
가득히002, 사람001
가득히002, 물건001
가득히003, 냄새001
가득히003, 빛001
가득히003, 공간005
가득히003, 퍼지다001
가득히003, 상태001
가득히004, 감정006
가득히004, 정서010
가득히004, 생각001
가락005, 목소리001
가락005, 높낮이001
가락005, 길이001
가락005, 통하다001
가락005, 느끼다002
가락005, 말001
가락005, 기운001
가락006, 음악001
가락006, 통일002
가락006, 이루다001
가락006, 음001
가락006, 연속002
가락006, 노랫가락001
가락006, 세다003
가락006, 단위002
가락007, 소리001
가락007, 높낮이001
가락007, 길001
가락007, 리듬001
가락007, 어울리다001
가락007, 나타나다001
가락007, 음001
가락007, 흐름001
가락007, 한자002
가락007, 빌리다001
가락007, 적다001
가락007, 한다001
가랑잎001, 나무001
가랑잎001, 떨어지다001
가랑잎001, 마르다001
가랑잎001, 잎002
가렵다001, 피부002
가렵다001, 긁다001
가렵다001, 느낌001
가렵다001, 있다001
가령007, 가정006
가령007, 말001
가로001, 왼쪽001
가로001, 오른쪽001
가로001, 방향001
가로001, 길이001
가로002, 왼쪽001
가로002, 오른쪽001
가로002, 방향001
가로002, 옆001
가로수001, 거리001
가로수001, 미관003
가로수001, 국민001
가로수001, 보건002
가로수001, 위하다001
가로수001, 길001
가로수001, 따르다001
가로수001, 줄지다001
가로수001, 심다001
가로수001, 나무001
가루001, 물건001
가루001, 보다002
가루001, 정도011
가루001, 부수다001
가루001, 갈다002
가루001, 만들다001
가루약001, 가루001
가루약001, 되다001
가루약001, 약007
가루우유001, 우유002
가루우유001, 속001
가루우유001, 수분003
가루우유001, 증발001
가루우유001, 농축002
가루우유001, 가루001
가루우유001, 만들다001
가마솥001, 솥001
가만가만001, 움직임001
가만가만001, 드러나다001
가만히001, 움직이다001
가만히001, 말001
가만히003, 마음001
가만히003, 가다듬다001
가뭄001, 오랫동안001
가뭄001, 계속004
가뭄001, 비001
가뭄001, 내리다001
가뭄001, 날씨001
가방001, 물건001
가방001, 넣다001
가방001, 들다001
가방001, 메다002
가방001, 다니다001
가방001, 있다001
가방001, 만들다001
가방001, 용구001
가방001, 가죽001
가방001, 비닐001
가방001, 만든다001
가볍다001, 무게001
가볍다001, 일반002
가볍다001, 기준003
가볍다001, 되다001
가볍다001, 대상011
가볍다002, 비중001
가볍다002, 가치006
가볍다002, 책임001
가볍다002, 적다001
가볍다003, 죄과001
가볍다003, 실수001
가볍다006, 몸001
가볍다006, 손발001
가볍다006, 움직임001
가볍다006, 재다002
가볍다012, 소리001
가볍다012, 색깔001
가볍다013, 세금001
가볍다013, 잘못001
가볍다013, 대하다002
가볍다013, 대가006
가볍다013, 치르다001
가볍다013, 형량001
가볍다013, 벌금001
가볍다015, 마음001
가사011, 가곡001
가사011, 가요002
가사011, 오페라001
가사011, 불리다004
가사011, 전제014
가사011, 하다001
가사011, 쓰이다001
가사011, 글001
가수015, 노래001
가수015, 부르다001
가수015, 직업인001
가수015, 사람001
가스001, 기체005
가스001, 물질002
가스001, 이르다001
가스001, 말001
가스002, 연료001
가스002, 사용004
가스002, 기체005
가스003, 살상001
가스003, 무기005
가스003, 사용004
가스003, 기체005
가스004, 소화006
가스004, 기관011
가스004, 내용물001
가스004, 부패004
가스004, 생기다001
가스004, 기체005
가슴001, 배001
가슴001, 목001
가슴001, 사이001
가슴001, 앞부분001
가슴002, 목과002
가슴002, 가로막001
가슴002, 사이001
가슴002, 부분001
가슴002, 심장002
가슴002, 허파001
가슴002, 있다001
가슴003, 등뼈001
가슴003, 갈비뼈001
가슴003, 가슴뼈001
가슴003, 가로막001
가슴003, 이루어지다001
가슴003, 원통003
가슴003, 모양002
가슴003, 부분001
가슴003, 심장002
가슴003, 허파001
가슴003, 식도002
가슴003, 보호001
가슴003, 흉근002
가슴003, 운동002
가슴003, 호흡001
가슴003, 운동002
가슴003, 돕다001
가슴004, 마음001
가슴004, 생각001
가슴005, 윗옷001
가슴005, 가슴001
가슴005, 부분001
가슴006, 여자002
가슴006, 젖001
가슴006, 이르다001
가슴006, 말001
가슴007, 절지동물001
가슴007, 가슴001
가슴007, 부분001
가슴007, 마디001
가슴속001, 마음001
가슴속001, 속001
가시001, 바늘001
가시001, 하다001
가시001, 돋치다001
가시002, 물고기001
가시002, 잔뼈001
가시003, 살004
가시003, 박히다001
가시003, 나무001
가시003, 거스러미001
가시004, 남004
가시004, 공격002
가시004, 불평불만001
가시004, 뜻001
가시004, 담다001
가시004, 표현001
가시004, 비유006
가시004, 이르다001
가시004, 말001
가시005, 식물002
가시005, 줄기001
가시005, 잎002
가시005, 열매001
가시005, 싸다005
가시005, 겉면001
가시005, 바늘001
가시005, 하다001
가시005, 돋아나다001
가시005, 식물002
가시005, 몸001
가시005, 보호001
가시005, 위하다001
가시005, 잎002
가시005, 하다001
가시005, 변태001
가엾다001, 마음001
가요002, 대중002
가요002, 즐기다001
가요002, 부르다001
가요002, 노래001
가요003, 민요002
가요003, 동요001
가요003, 유행가001
가요003, 노래001
가요003, 이르다001
가요003, 말001
가요004, 악가002
가요004, 속요001
가요004, 이르다001
가요004, 말001
가요005, 조선005
가요005, 시대002
가요005, 길001
가요005, 임금003
가요005, 환영002
가요005, 때001
가요005, 행하다001
가요005, 춤001
가요005, 노래001
가운데001, 일정003
가운데001, 공간005
가운데001, 길이001
가운데001, 갖다001
가운데001, 사물010
가운데001, 한쪽001
가운데001, 치우치다001
가운데001, 끝001
가운데001, 거리001
가운데001, 떨어지다001
가운데001, 부분001
가운데002, 양쪽001
가운데002, 사이001
가운데003, 여럿001
가운데003, 이루어지다001
가운데003, 일정003
가운데003, 범위001
가운데003, 안001
