"head","tail"
"가톨릭002","서학002"
"가톨릭교001","공교002"
"가톨릭교001","천주학001"
"가톨릭교001","진교002"
"가톨릭교도001","천좍쟁이001"
"가톨릭교회001","천주공교회001"
"강탄제002","크리스마스001"
"강탄제002","성탄제001"
"강탄제002","성탄절001"
"강탄제002","기독강탄절001"
"강탄제002","성탄002"
"강탄제002","예수성탄일001"
"공교회001","천주공교회001"
"교황청001","바티칸003"
"구품천신001","구품천사001"
"낮은주일001","사백주일001"
"대재005","금식재001"
"동정녀002","산타마리아001"
"로마교001","서학002"
"만과002","저녁기도001"
"바르톨로메오001","바돌로매001"
"바울로001","바울001"
"법왕청001","바티칸003"
"법황청001","바티칸003"
"보호성인001","주보성인001"
"비숍001","사교002"
"사성사001","복음서001"
"사성사001","사대복음서001"
"사사006","사대복음서001"
"사해002","보천지하001"
"소회죄경001","통회의기도001"
"소재002","금육재001"
"수호성인001","구난성인001"
"영복경001","대영광송001"
"요안003","세례요한001"
"요안003","요한002"
"요왕001","요한003"
"종도행전001","사도행전001"
"주교002","주교003"
"천주교001","서학002"
"층하경001","제단앞기도001"
"치명003","순교003"
"필립보001","빌립001"
"영세하다005","세받다001"
"총고사하다001","총고해하다001"
"가톨릭002","성교007"
"가톨릭교001","성교007"
"가톨릭교002","가톨릭003"
"가톨릭교도001","가톨릭신자001"
"가톨릭교도001","천주교인001"
"가톨릭주의002","가톨리시즘001"
"가톨릭교인001","가톨릭신자001"
"가톨릭교회002","공교회002"
"감목001","감목관001"
"개선지교회001","개선지회001"
"견신례001","견신002"
"견진002","견신002"
"고성소002","림보003"
"고해틀001","고해대001"
"공교회001","성회005"
"공심재001","공복재001"
"공의회001","공회의001"
"교계제001","교계제도001"
"교황령001","법왕령001"
"교황청001","법황청001"
"구마경001","구마기도001"
"그레도001","신경003"
"금식재001","단식재001"
"기절009","파문005"
"기절벌001","파문벌001"
"낭송음001","테노르001"
"단련교회001","수련지회001"
"답창식001","답창식시편송001"
"대교구001","대주교구001"
"대미사001","장엄미사001"
"대성당001","주교좌성당001"
"대이교001","대분열001"
"대주교001","대사교001"
"대모003","교모003"
"대부010","교부007"
"대품002","상삼품001"
"도미니크단001","도미니크회001"
"득승지회001","개선지교회001"
"득승지회001","영승지회001"
"득승지회001","개선지회001"
"로저리001","묵주001"
"마리아상001","성모마리아상001"
"마리아상001","성모상001"
"만도003","저녁기도001"
"만성절001","모든성인의날대축일001"
"목장005","주교장001"
"목장005","목자지팡이001"
"미사곡001","미사012"
"미사성제001","성제006"
"바쿨루스001","주교장001"
"법왕003","포프001"
"법왕003","로마법왕001"
"법왕청001","로마교황청001"
"법왕청001","법황청001"
"법황001","포프001"
"변화지례001","성변화001"
"보호성인001","수호성인001"
"본명002","세례명001"
"부감목001","부주교001"
"부제007","정부제001"
"부활초001","부활촉001"
"사소품001","소품005"
"사소품001","하사품001"
"사규001","성교사규001"
"사사006","사성사001"
"사해002","만천하001"
"사해002","일세계001"
"사해002","보세004"
"상주001","주007"
"서계식001","주교서품식001"
"선발식001","입교식003"
"성교회001","성회005"
"성교회001","가톨릭교회001"
"성의회002","성성005"
"성칠일001","성주간001"
"성가007","성가정001"
"성가009","성악003"
"성당003","성전016"
"성당003","천주당001"
"성명010","본명002"
"성명010","세례명001"
"성명010","영명006"
"성모003","성모마리아001"
"성보003","성작뚜껑001"
"성보003","성작덮개001"
"성세006","세례성사001"
"성작개001","성작덮개001"
"성장014","바쿨루스001"
"성장014","주교장001"
"성전016","천주당001"
"성체포낭001","성낭004"
"성촉001","성랍001"
"성총006","은총002"
"성품004","성품성사001"
"성회005","가톨릭교회001"
"성회례001","성회예의001"
"세008","영세007"
"소성탄절001","예수공현대축일001"
"소품005","하사품001"
"수도사001","수사015"
"수도원001","수원005"
"수도원001","승원002"
"수도회001","승단003"
"수련지회001","단련지회001"
"승원002","수원005"
"시종직001","시종003"
"신랑001","본당001"
"신문교우001","신문교001"
"신전지회001","신전지교회001"
"신품002","성품성사001"
"십자고상001","고상009"
"연도004","위령기도001"
"영광송001","독솔로지001"
"영명006","세례명001"
"영승지회001","개선지회001"
"영승지회001","개선지교회001"
"영혼005","영신010"
"예비자001","예비신자001"
"예수회원001","제수이트001"
"예절서001","예식서001"
"유딧서001","유딧기001"
"육제001","사육제001"
"이교013","이교회001"
"인효적001","인효적성사001"
"전대사001","전사005"
"정적주의001","퀴에티슴001"
"제병003","오스티아001"
"제수이트회001","예수회001"
"죄원002","죄종001"
"주교002","사교002"
"주성001","천주성001"
"지당003","복지011"
"지품천사001","케루빔001"
"지품천사001","게루빔001"
"착복식002","착의식001"
"천주001","주007"
"천주교도001","가톨릭교인001"
"천주교도001","가톨릭신자001"
"천주교인001","가톨릭신자001"
"천주교회001","공교회002"
"천주교회001","가톨릭교회002"
"총고해001","총고사001"
"축일005","축절001"
"치품천사001","세라핌001"
"칠고002","성모통고001"
"카니발001","사육제001"
"케루빔001","게루빔001"
"통상문001","미사통상문001"
"판공성사001","판공003"
"프란체스코회001","프란체스코파001"
"하느님002","상주001"
"하느님002","주007"
"혈세001","피의세례001"
"혈제002","유혈제001"
"혼종혼인001","혼혼006"
"혼종혼인001","혼종혼001"
"혼혼006","혼종혼001"
"화세001","열세003"
"흠숭002","흠숭지례001"
"세받다001","수세하다006"
"교화황001","법황001"
"교화황001","로마법왕001"
"교화황001","법왕003"
"교화황001","로마교황001"
"교황002","법왕003"
"교황002","로마법왕001"
"구교도001","천주교인001"
"구교도001","가톨릭교인001"
"구교도001","가톨릭교도001"
"구교도001","가톨릭신자001"
"구교도001","천주교도001"
"묵주001","로사리오001"
"미사011","미사성제001"
"보세004","사방천지001"
"사해002","거세007"
"사해002","사방천지001"
"사해002","일하004"
"삼종006","삼종기도001"
"성제006","미사011"
"육제001","카니발001"
"입당송001","인트로이투스001"
"조화주001","옥제001"
"조화주001","옥황001"
"천주교001","가톨릭002"
"천주교회001","가톨릭교회001"
"세받다001","세주다001"
"세주다001","영세하다005"
"세주다001","세받다001"
"대미사001","소미사001"
"대자006","대녀001"
"대품002","소품005"
"대품002","하사품001"
"대품002","사소품001"
"무혈제001","혈제002"
"무혈제001","유혈제001"
"소미사001","장엄미사001"
"소미사001","대미사001"
"소미사001","대례미사001"
"소미사001","미사솔렘니스001"
