key,subnodes
"ㄱ001",1
"ㄱㄴㄷ순001",1
"ㄱㄴㄷ차례001",1
"ㄱㄴ순001",1
"ㄱㄴ차례001",1
"ㄱ자자001",1
"ㄱ자턱솔이음001",1
"ㄲ001",1
"ㄴ001",1
"ㄷ001",1
"ㄸ001",1
"ㄸ002",2
"ㄹ001",1
"ㅁ001",1
"ㅂ001",1
"ㅃ001",1
"ㅅ001",3
"ㅅ002",2
"ㅅ008",2
"ㅆ001",1
"ㅇ001",2
"ㅈ001",1
"ㅈ008",2
"ㅉ001",1
"ㅊ001",2
"ㅋ001",1
"ㅋ003",2
"ㅌ001",1
"ㅌ009",2
"ㅍ001",1
"ㅍ012",2
"ㅎ001",2
"ㅏ001",1
"ㅐ001",3
"ㅑ001",2
"ㅒ001",2
"ㅓ001",1
"ㅔ001",1
"ㅕ001",1
"ㅖ001",1
"ㅗ001",1
"ㅗ004",1
"ㅚ001",6
"ㅛ001",1
"ㅜ001",1
"ㅝ001",1
"ㅝ010",2
"ㅞ001",2
"ㅟ001",72114
"ㅠ001",1
"ㅡ001",1
"ㅡ016",2
"ㅢ001",1
"ㅢ008",2
"ㅣ001",1
"가001",10
"가002",6
"가003",1
"가004",2
"가005",5
"가008",2
"가009",1
"가010",1
"가012",1
"가013",1
"가020",1
"가가대소001",1
"가가문전001",1
"가가호호001",1
"가간사001",1
"가감001",8
"가감018",1
"가감법018",1
"가감산018",1
"가감승제001",1
"가감승제018",1
"가객001",1
"가갸뒤풀이001",1
"가거주001",1
"가거주자001",1
"가거지001",1
"가건물001",3
"가건축물004",1
"가검001",1
"가게001",1335
"가게002",115
"가게003",7
"가게004",5
"가게006",72115
"가게007",2
"가게009",5
"가게010",2
"가게011",2
"가게019",2
"가게023",2
"가게내기001",1
"가겟방001",1
"가겟방002",1
"가겟집001",1341
"가겟집002",3
"가겟집005",3
"가격001",120
"가격002",10
"가격003",93
"가격004",5
"가격005",2
"가격007",2
"가격009",2
"가격011",2
"가격경기001",1
"가격대001",1
"가격대009",1
"가격제001",1
"가격제009",1
"가격지수001",1
"가격표001",1
"가결001",3
"가결002",2
"가결004",2
"가경001",1
"가경002",2
"가경003",1
"가경005",12
"가경012",1
"가경일002",1
"가경자001",1
"가경자002",1
"가경절006",1
"가계001",1
"가계003",1
"가계007",1
"가계009",1
"가계010",1
"가계도001",1
"가계례001",1
"가계부001",1
"가계비001",1
"가계소득001",1
"가계약001",1
"가계주001",1
"가고문적001",1
"가고한001",1
"가곡001",16
"가곡002",10
"가곡004",5
"가곡005",2
"가곡007",1
"가곡008",3
"가곡011",2
"가곡012",2
"가곡원류001",1
"가곡집001",3
"가곡집002",2
"가공001",19
"가공002",2
"가공003",1
"가공005",2
"가공006",1
"가공무역001",1
"가공물001",1
"가공물002",1
"가공법001",1
"가공법002",1
"가공법007",2
"가공사001",5
"가공사002",1
"가공삭도001",1
"가공수입001",1
"가공수출001",1
"가공식품001",31
"가공식품002",3
"가공식품005",16
"가공업001",1
"가공업체001",34
"가공유001",1
"가공유002",1
"가공인물001",1
"가공인물002",1
"가공지001",12
"가공지002",1
"가공지005",3
"가공품001",12
"가공품002",1
"가공품005",2
"가공품007",2
"가공품013",21
"가과002",1
"가과012",1
"가관001",1
"가관002",1
"가관003",1
"가관008",1
"가교002",2
"가교003",1
"가교004",1
"가교005",1
"가교007",1
"가교014",1
"가구001",72118
"가구002",4
"가구003",45
"가구004",1
"가구005",3
"가구006",2
"가구007",169
"가구010",1
"가구011",1
"가구014",1
"가구017",2
"가구상001",1
"가구상014",1
"가구장이014",1
"가구재001",1
"가구재014",1
"가구점001",1
"가구점014",1
"가구주001",1
"가구주014",1
"가군001",1
"가군014",1
"가권001",1
"가권002",1
"가규001",1
"가그라003",1
"가극001",7
"가극008",1
"가극단001",1
"가극단008",1
"가근001",1
"가근012",1
"가근방001",1
"가금001",1
"가금006",1
"가금007",1
"가금류001",87
"가금업001",1
"가급001",1
"가급유001",1
"가급적001",1
"가기001",13
"가기002",2
"가기003",1
"가기004",2
"가기005",1
"가기008",1
"가기009",1
"가기011",2
"가기014",1
"가까이004",1
"가까이007",1
"가께수리경대011",1
"가나다순001",1
"가나다순011",1
"가나다차례001",1
"가나다차례011",1
"가난001",29
"가난003",2
"가난005",2
"가난011",1
"가난013",2
"가난뱅이011",1
"가납003",1
"가납004",1
"가납011",1
"가납기언001",1
"가납기언011",1
"가낭청001",1
"가낭청002",1
"가내001",1
"가내011",1
"가내공업001",1
"가내노비001",1
"가내사011",1
"가내수공업001",1
"가내시001",1
"가녀011",1
"가녘001",1
"가노001",1
"가노002",1
"가노004",1
"가는고리001",1
"가는고비012",1
"가는귀001",1
"가는눈001",1
"가는베001",16
"가는베003",15
"가는소금001",1
"가는소금002",1
"가는잎개고사리004",1
"가는허리001",1
"가는허리002",1
"가늠001",2
"가늠002",1
"가늠값009",1
"가늠구멍001",1
"가늠쇠001",1
"가늠자001",1
"가능001",20
"가능002",7
"가능007",2
"가능성001",16
"가능성002",261
"가능성003",14
"가능성005",2
"가능성006",2
"가능주의002",1
"가다랑어포001",1
"가다랭이009",1
"가다랭이포001",1
"가닥001",3
"가닥002",1
"가닥004",1
"가닥013",1
"가단001",2
"가담001",4
"가담자001",1
"가당연유001",1
"가대001",1
"가대002",1
"가대인001",1
"가댁질001",1
"가덕001",1
"가덕대부001",1
"가도001",1
"가도003",1
"가도009",12
"가도010",1
"가도교001",1
"가독부001",1
"가독성001",1
"가동001",1
"가동002",2
"가동005",2
"가동008",16
"가동010",2
"가동교001",1
"가동교005",2
"가동력002",1
"가동률001",1
"가동성001",1
"가두001",1
"가두002",1
"가두데모001",1
"가두리001",1
"가두시위001",1
"가두판매001",1
"가드001",1
"가드002",1
"가드003",1
"가드004",1
"가드레일001",1
"가드레일002",1
"가등기001",1
"가라001",1
"가라006",1
"가라국001",1
